Sr. no.,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,sport_type,start_date,timezone,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed,distance_km,duration_min,pace_min_per_km,start_dt,hour,weekday
66,2023-03-05T07:07:47Z,Run,21479.0,9617,10154,100.9,"[39.27251446992159, -76.69635736383498]","[39.251645458862185, -76.7130200844258]",Run,2023-03-05T12:07:47Z,(GMT-05:00) America/New_York,4,0,0,1,0,2.233,3.304,21.479,160.28333333333333,7.462327544733616,2023-03-05 07:07:47+00:00,7,6
67,2023-03-02T06:38:12Z,Run,12240.6,5376,5386,147.0,"[39.272493766620755, -76.6963579505682]","[39.254609970375896, -76.70630416832864]",Run,2023-03-02T11:38:12Z,(GMT-05:00) America/New_York,2,0,0,1,0,2.277,3.882,12.2406,89.6,7.319902619152655,2023-03-02 06:38:12+00:00,6,3
68,2023-02-19T16:51:04Z,Run,6241.0,4411,4453,60.9,"[39.27249485626817, -76.69633900746703]","[39.25268799997866, -76.71309367753565]",Run,2023-02-19T21:51:04Z,(GMT-05:00) America/New_York,0,0,0,1,0,1.415,7.522,6.241,73.51666666666667,11.779629332906051,2023-02-19 16:51:04+00:00,16,6
69,2023-02-12T07:06:05Z,Run,10207.3,4815,4937,96.2,"[39.27247985266149, -76.69631981290877]","[39.25345100462437, -76.70696390792727]",Run,2023-02-12T12:06:05Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.12,4.023,10.2073,80.25,7.862020318791453,2023-02-12 07:06:05+00:00,7,6
70,2022-12-21T14:20:42Z,Run,21792.6,9275,9323,151.1,"[39.25281196832657, -76.71344169415534]","[39.25343122333288, -76.71498136594892]",Run,2022-12-21T19:20:42Z,(GMT-05:00) America/New_York,3,0,0,1,0,2.35,4.442,21.7926,154.58333333333334,7.093386440045398,2022-12-21 14:20:42+00:00,14,2
71,2022-12-03T15:41:28Z,Run,13223.8,5828,6081,118.6,"[39.27253047935665, -76.69633464887738]","[39.25424485467374, -76.70615639537573]",Run,2022-12-03T20:41:28Z,(GMT-05:00) America/New_York,1,1,0,1,0,2.269,3.56,13.223799999999999,97.13333333333334,7.345341984401863,2022-12-03 15:41:28+00:00,15,5
72,2022-11-23T06:31:44Z,Run,13194.5,5838,5905,161.7,"[39.27252192981541, -76.69639348983765]","[39.252744913101196, -76.70849385671318]",Run,2022-11-23T11:31:44Z,(GMT-05:00) America/New_York,5,1,0,1,0,2.26,3.506,13.1945,97.3,7.374284739853727,2022-11-23 06:31:44+00:00,6,2
73,2022-11-13T07:54:52Z,Walk,570.7,255,255,0.0,"[39.251993810757995, -76.70930849388242]","[39.25326534546912, -76.70722374692559]",Walk,2022-11-13T12:54:52Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.238,3.73,0.5707000000000001,4.25,7.4469949185211135,2022-11-13 07:54:52+00:00,7,6
74,2022-11-13T06:59:20Z,Run,6934.9,2965,3021,76.6,"[39.272521, -76.696334]","[39.252674, -76.708679]",Run,2022-11-13T11:59:20Z,(GMT-05:00) America/New_York,4,0,0,1,0,2.339,3.5,6.9349,49.416666666666664,7.1257936908487025,2022-11-13 06:59:20+00:00,6,6
75,2022-10-15T11:04:34Z,Walk,1053.6,855,1699,6.6,"[39.28653035312891, -76.61675987765193]","[39.28631284274161, -76.6237744409591]",Walk,2022-10-15T15:04:34Z,(GMT-05:00) America/New_York,0,0,0,1,0,1.232,5.515,1.0535999999999999,14.25,13.525056947608203,2022-10-15 11:04:34+00:00,11,5
